,Unnamed: 0,title,date,author,result,id
142,142,Zhonglou can suppress new coronavirus,2020/2/18,Professional medical science popularization platform under Tencent,suspect,https://vp.fact.qq.com/article?id=69c7bb4c969afaee23702b4de34a994c
957,1175,Hair dyes contain toxic substances and can cause cancer when used,2019/11/13,Zu Beichen,suspect,https://vp.fact.qq.com/article?id=ddb5362ea9a6c54fb669960772ab423c
165,165,Orange red can alleviate the symptoms of new coronavirus pneumonia,2020/2/15,Professional medical science popularization platform under Tencent,suspect,https://vp.fact.qq.com/article?id=072a0651e83572f882720b2743df926a
118,118,Recycled subway tickets spread virus,2020/2/22,Feng Luzhao,suspect,https://vp.fact.qq.com/article?id=cbbd2f933b84dda2dd9996f3cc53b656
732,933,"Food mildew can produce highly toxic aflatoxin, which can cause cancer",2019/10/16,,suspect,https://vp.fact.qq.com/article?id=e5095cd59fbf97327081fbcb21448106
119,119,"The use of chlorine dioxide patches can prevent new coronaviruses, and is non-toxic and harmless",2020/2/21,"PhD in Chemistry, Postdoctoral Fellow at Swiss Federal Institute of Technology",suspect,https://vp.fact.qq.com/article?id=66b197835cd4b79c235d95e5d4979849
161,161,Moxa leaves and moxibustion can kill bacteria and sterilize and prevent new coronavirus pneumonia,2020/2/16,Professional medical science popularization platform under Tencent,suspect,https://vp.fact.qq.com/article?id=e03335dc2d798cdce4ec913a9bce9a66
155,155,Ganoderma can prevent new coronavirus,2020/2/17,"PhD, Food Engineering, Department of Agriculture and Biology, Purdue University",suspect,https://vp.fact.qq.com/article?id=b62b33d74db2104114324422c7dbc8aa
152,152,New coronavirus spreads through eye conjunctiva,2020/2/17,New Media Platform of Shanghai Poster Industry Group,suspect,https://vp.fact.qq.com/article?id=89b0541413f316f97c2263d6ae5a2599
147,147,Chloroquine phosphate is a specific medicine for the treatment of new coronary pneumonia,2020/2/18,"Master of Pharmacology, PhD in Pediatrics",suspect,https://vp.fact.qq.com/article?id=98ba30a1e2cbc74e540442b73b0251fe
964,1182,"Liquor contains plasticizer, which is 20 times more toxic than melamine",2018/7/25,Zhong Kai,suspect,https://vp.fact.qq.com/article?id=8586a55ffd6a9cf0f86246b30687a432
132,132,"After epidemic outbreak, finding patient number zero is critical",2020/2/20,Medical PhD,suspect,https://vp.fact.qq.com/article?id=4821f200648f34ba9988f5b1e30f17ec
135,135,"The state has issued mask money, and WeChat medical health can receive benefits every day",2020/2/20,Li Mengdi,suspect,https://vp.fact.qq.com/article?id=6a401fb9eadcd7fa8ad896e1b896b6de
166,166,The negative pressure created by the exhaust fan in the bathroom will draw the germs of the sewer pipe into the air,2020/2/15,"Physics Teacher, Brandenburg University of Technology (BTU), Germany",suspect,https://vp.fact.qq.com/article?id=ed17c58742b8287e428d975863488c49
965,1183,"Many brand-name suitcases are poisonous, and can cause cancer in 30 seconds.",2018/1/24,Okabe Honglisu,suspect,https://vp.fact.qq.com/article?id=818ce9680051f6272e8a7aedc42d452e
144,144,Cash recovered from hospitals and other places during the epidemic will be directly destroyed,2020/2/18,Professional fact verification platform under Tencent News,suspect,https://vp.fact.qq.com/article?id=b21a4f802b817b962bbdd2f2a911bd89
139,139,New coronavirus damages kidneys and testes and therefore affects fertility,2020/2/19,"Chief Physician, Department of Nephrology, Tianjin Teda Hospital",suspect,https://vp.fact.qq.com/article?id=047d9cbe082d4ef12c6ba7843d678f7c
122,122,"When you smell the fart of a new crown pneumonia patient, you will get the new crown virus",2020/2/21,"Master of Pharmacology, PhD in Pediatrics",suspect,https://vp.fact.qq.com/article?id=17c24997bd6dae6001cbc05d4aab6cc6
168,168,Australia invests $ 2 billion to develop new crown pneumonia vaccine,2020/2/15,Editor-in-chief of today's topic,suspect,https://vp.fact.qq.com/article?id=1dee933b14c129cd05d1f71bd941df78
593,790,Licking wounds can disinfect,2019/5/4,Hippocrates,suspect,https://vp.fact.qq.com/article?id=674c42dcc62a58c067ef19994eb3fb3b
177,177,Plasma from New Crown Virus Rehabilitation Patients Effectively Treats Severe Patients,2020/2/14,"Master of Pharmacology, PhD in Pediatrics",suspect,https://vp.fact.qq.com/article?id=e7c16d7c8e9acf062789a67dd7d9ef40
928,1146,Tea was found to contain highly toxic pesticides,2018/10/22,Early summer,suspect,https://vp.fact.qq.com/article?id=e9e628b1bc95f547f38c1a5debd0fd93
295,295,42 people infected with atypical pneumonia in the Hong Kong Amoy Gardens in 2003,2020/2/4,"Associate Professor of Research, Department of Pathology and Experimental Medicine, University of Pennsylvania School of Medicine",suspect,https://vp.fact.qq.com/article?id=29be2c22e40852be113311a9fb82b77f
718,915,Cod liver oil poisoning,2018/7/20,,suspect,https://vp.fact.qq.com/article?id=816355d6fe8d7a41d2957576178d2b1f
720,917,Homemade wine is poisonous,2015/6/24,,suspect,https://vp.fact.qq.com/article?id=e04abf1c965800760d8bfb4e50aa1e31
932,1150,Green tomatoes are extremely toxic and can cause death,2018/7/25,Cloudless,suspect,https://vp.fact.qq.com/article?id=79736d70c5ad8d123e0407cd230f4658
933,1151,Germinated potatoes are extremely toxic and can cause death,2018/7/25,He Xu,suspect,https://vp.fact.qq.com/article?id=7d0d77544c5c510cb51a4f696e342896
266,266,Delivery and delivery will be infected with new coronavirus,2020/2/7,"Master of Pharmacology, PhD in Pediatrics",suspect,https://vp.fact.qq.com/article?id=50cea5b3b4304ac1c388ac46b4051c89
262,262,Aerosols spread horror and infect the virus without inhaling the air,2020/2/7,"Associate Professor of Research, Department of Pathology and Experimental Medicine, University of Pennsylvania School of Medicine",suspect,https://vp.fact.qq.com/article?id=09166ab78e950789a072b07429f7f49c
257,257,"Chlorine dioxide is diluted into a humidifier, which can effectively prevent new coronary pneumonia",2020/2/7,"PhD, Food Engineering, Department of Agriculture and Biology, Purdue University",suspect,https://vp.fact.qq.com/article?id=b6d96d6ca8e2174e3b1656b5a35f1435
254,254,Pangolin is an intermediate host for a new coronavirus,2020/2/7,"Member of China Popular Science Writers Association, PhD in Molecular Biology",suspect,https://vp.fact.qq.com/article?id=89810b6c84b9f94506a69fc4a1e1e1e4
244,244,The mask can be used repeatedly after disinfecting with alcohol,2020/2/8,PhD in Physics,suspect,https://vp.fact.qq.com/article?id=7ed83e76c61c57abfbbbf27746ec3078
726,924,The mask can be put into the disinfection cabinet and sterilized by UV.,2020/2/11,Sun Yafei,suspect,https://vp.fact.qq.com/article?id=c0b92a650d2c1efeb008537bd811b096
728,928,"Blowfish meat is not poisonous, it is poisonous to other tissues (ovary, liver, etc.)",2018/12/21,Gu Chuanling,suspect,https://vp.fact.qq.com/article?id=87d97b1fa512f7e5118c0a8ed556a61d
232,232,Electric masks prevent new coronavirus,2020/2/9,Professional medical science popularization platform under Tencent,suspect,https://vp.fact.qq.com/article?id=1c48630b66787fc4ba55f169c311bc01
942,1160,"Water in plastic cups, drinking water can cause cancer poisoning",2018/4/13,,suspect,https://vp.fact.qq.com/article?id=5696d5b4cb83620673bb1351720ef470
230,230,New coronavirus spreads through aerosols,2020/2/9,Professional fact verification platform under Tencent News,suspect,https://vp.fact.qq.com/article?id=bf7df9da6cd03f6ccb0b98e7f8518213
226,226,Foreigners are infected when they have been to public toilets. Public toilets at airport stations are at high risk.,2020/2/10,"Associate Professor of Research, Department of Pathology and Experimental Medicine, University of Pennsylvania School of Medicine",suspect,https://vp.fact.qq.com/article?id=466418530142069e25f9047bd755ec83
212,212,Indonesia does not test returning students because the cost is too high,2020/2/11,International Rumor Verification Agency,suspect,https://vp.fact.qq.com/article?id=82269c23b898533fefdcbb48df73f3bc
211,211,The mask can be used in the oven for 30 minutes.,2020/2/11,"Associate Professor, Engineering Center of Technical Textiles, Donghua University",suspect,https://vp.fact.qq.com/article?id=41bcedb1f3ea7fedf6c28343d9acbbd3
731,931,Toxic tetrachloroethylene used in dry cleaners makes clothes poisonous,2018/8/5,Huang Chen,suspect,https://vp.fact.qq.com/article?id=25d5fec257daf685099393ad42db8a34
196,196,Rainy and foggy days increase the risk of new crown virus infection,2020/2/12,Tang Bo,suspect,https://vp.fact.qq.com/article?id=8be33c500e00257c97419ac24ab59d8f
185,185,Warm weather birds returning from the south to the north can bring back the virus and infect humans,2020/2/13,"Master of Pharmacology, PhD in Pediatrics",suspect,https://vp.fact.qq.com/article?id=86d1f299f67a8cd1735483e8dc562968
179,179,"Prepare 15 masks, one a day, use up seals, can be recycled",2020/2/14,"Associate Professor, Engineering Center of Technical Textiles, Donghua University",suspect,https://vp.fact.qq.com/article?id=87297b3ad2d3941fde0a82b1d6f94766
175,175,Plasma air sterilizer can kill new coronavirus,2020/2/15,Zhuozheng Medical Dermatologist,suspect,https://vp.fact.qq.com/article?id=190defbb0eda311bdbc508ce7e9ae13f
186,186,Diammonium glycyrrhizinate + Vitamin C + Rutin tablets can alleviate new coronary pneumonia,2020/2/13,Professional medical science popularization platform under Tencent,suspect,https://vp.fact.qq.com/article?id=0e88f5caeb6aec4bb3f7246fce5f1e5e
978,1207,"Cramp weakness, dry skin, loss of appetite, and reduced breathing suggest uremia",2019/10/14,True team,suspect,https://vp.fact.qq.com/article?id=ddece3528c9b5e2ab4f72659dfd712c6
116,116,"Out of body temperature detection, wrist measurement is best! Infrared thermometer hurts eyes",2020/2/22,Doctor of Physics,suspect,https://vp.fact.qq.com/article?id=41fe7dd6d4ebbb06e9e4e3edb79c9e7f
41,41,New crown pneumonia vaccine developed with tobacco,2020/3/4,"Associate Professor of Research, Department of Pathology and Experimental Medicine, University of Pennsylvania School of Medicine",suspect,https://vp.fact.qq.com/article?id=585e6ceed3988777967962f83b12080c
1003,1232,Pneumonia is highly contagious,2018/12/30,Tencent Medical Code,suspect,https://vp.fact.qq.com/article?id=6c1f62e3d09e59d4138aba77d4ff55e9
40,40,Antihypertensive drugs increase the risk of viral infection in hypertensive patients,2020/3/4,"Chief Physician, Department of Nephrology, Tianjin Teda Hospital",suspect,https://vp.fact.qq.com/article?id=bb8c574be94cf16fdbd4fc79a7d0236a
38,38,An Gong Niuhuang Pill can prevent new coronary pneumonia,2020/3/4,Professional medical science popularization platform under Tencent,suspect,https://vp.fact.qq.com/article?id=d35e4ef9945bcc305d1aa098d09add7f
1006,1265,Woman suffering from fungal pneumonia due to humidifier,2018/12/14,Ren Huali,suspect,https://vp.fact.qq.com/article?id=7dad2b5d47be0586c5142d0303e58d23
32,32,Pet dogs spread new coronavirus,2020/3/5,"Associate Professor of Research, Department of Pathology and Experimental Medicine, University of Pennsylvania School of Medicine",suspect,https://vp.fact.qq.com/article?id=548ff03f85bb4b5bac41dcfb505dc60a
28,28,"Disinfectants with ""chlorine"" in their name are chlorine-containing disinfectants",2020/3/7,Lin thin cat,suspect,https://vp.fact.qq.com/article?id=0b751e48b70bc43fc514e4b45f48ab97
1009,1341,Lung nodules are lung cancer,2018/12/13,Jiao Peng,suspect,https://vp.fact.qq.com/article?id=2ad704bce5e55685a87c08f65e7d6555
27,27,New crown virus disappears on its own in summer,2020/3/7,Professional fact verification platform under Tencent News,suspect,https://vp.fact.qq.com/article?id=1469a8620635c913d4c18abbcfe1e9de
1011,1343,No treatment for lung nodules,2018/12/14,Zhi Xiuyi,suspect,https://vp.fact.qq.com/article?id=29c5f3d366d7a0e2280084db88cf11d6
1012,1344,Lung nodules are contagious,2018/12/13,Jiao Peng,suspect,https://vp.fact.qq.com/article?id=7981c6a0ec118de737fd07f7e6f01c16
1013,1345,Lung cancer can be cured,2018/12/13,Jiao Peng,suspect,https://vp.fact.qq.com/article?id=df79223b62b49c36dd8460e2c87aea80
18,18,Zhong Nanshan's latest forecast: people's physical fitness will decline after five years,2020/3/9,Professional fact verification platform under Tencent News,suspect,https://vp.fact.qq.com/article?id=0e3e1682719d3fef6758e70d311bc4f4
1015,1347,Lung nodules can be eliminated by taking medicine,2018/12/13,Jiao Peng,suspect,https://vp.fact.qq.com/article?id=b36f9f964e28e0b9b5f158b34232e65e
15,15,New crown virus in breast milk of patients with new crown pneumonia,2020/3/10,Communist Party of Beijing Municipal Committee,suspect,https://vp.fact.qq.com/article?id=cb5729d8137b7be1fb331a4cb084f341
13,13,New coronavirus can remain in the body for several weeks but the infection is weak,2020/3/10,Postdoctoral Fellow in Cambridge University Virology,suspect,https://vp.fact.qq.com/article?id=66dd25b6e728dbac5f6f1db7f2a6a8d0
1018,1350,Artificial lungs can save lives,2018/2/11,Wang Yuebing,suspect,https://vp.fact.qq.com/article?id=aba80602ee6e3411e281ff7e0ace5aa6
749,959,Table salt can remove aflatoxins in peanut oil,2019/7/14,Liu Pingping,suspect,https://vp.fact.qq.com/article?id=96a53e683195711e231727fddb15ccf2
1020,1357,"Anti-flu, safe with masks 24 hours",2018/1/18,Global Times,suspect,https://vp.fact.qq.com/article?id=ca4b7e7dbbd1c19600aa8a5c669e43ce
1021,1365,The mask can be used repeatedly after boiling in boiling water,2020/2/11,Tencent Medical Code,suspect,https://vp.fact.qq.com/article?id=c7ccd8e00f721e45721a07a0d5dbcfdb
750,960,Drinking more than 4 liters of water a day may be poisoning. It is recommended that men do not exceed 3.7 liters.,2019/5/31,Shanghai rumor platform,suspect,https://vp.fact.qq.com/article?id=3b82533c9cb28d2dac95412d6eba2864
1001,1230,Air conditioning in closed rooms can cause carbon monoxide poisoning,2017/7/26,Yang Yan,suspect,https://vp.fact.qq.com/article?id=6cfe1bba59045cee727bdd67a96af444
117,117,The virus gets on your hair and you need to wash your hair every time you go home,2020/2/22,"Researcher, China CDC ",suspect,https://vp.fact.qq.com/article?id=d2f5c0839c188162383c97f04c5432fc
45,45,Artemisinin can treat new coronavirus pneumonia,2020/3/2,"Master of Pharmacology, PhD in Pediatrics",suspect,https://vp.fact.qq.com/article?id=5cec35b94bfdcf6395f318d6debcc36b
744,954,Drinking water leads to lead poisoning in children,2019/10/27,Wenzhou rumors,suspect,https://vp.fact.qq.com/article?id=c16f587fe754d99dc1c9853c0a5d2046
112,112,"Workers building the Vulcan Mountain Hospital have to settle their wages, and many people are determined not to",2020/2/22,Professional fact verification platform under Tencent News,suspect,https://vp.fact.qq.com/article?id=4cd976c053cc7bebab1823874bc33b93
296,296,Risk of new coronavirus infection in sewers,2020/2/4,"Associate Professor of Research, Department of Pathology and Experimental Medicine, University of Pennsylvania School of Medicine",suspect,https://vp.fact.qq.com/article?id=482964cb2f75a048323dfbec8e3bad57
109,109,The state requires all landlords to rent and reduce rents,2020/2/22,More authentic inspector,suspect,https://vp.fact.qq.com/article?id=d392272c920d69d5585ba86ed31c711b
107,107,Disposable mask gaskets can provide protection,2020/2/23,"Associate Professor, Engineering Center of Technical Textiles, Donghua University",suspect,https://vp.fact.qq.com/article?id=f5fef32dc02d369c067580cbeff76c9c
762,972,"Drug ""stamps"" (LSD) addictive",2019/1/4,,suspect,https://vp.fact.qq.com/article?id=029c9e2d5706aafa74d8235d90fc1a85
982,1211,"One bag of disinfectant cotton, one bottle of hydrogen peroxide, toothpick, soil method can cure paronychia",2019/7/8,Ruan Guangfeng,suspect,https://vp.fact.qq.com/article?id=6a5dd20e4c362976402f90d755e217e0
737,938,Used masks can be reused after spraying with alcohol,2020/2/11,Tencent Medical Code,suspect,https://vp.fact.qq.com/article?id=f0813a30eec676925488b447b33707c5
984,1213,Disinfectant can be used with laundry detergent to wash clothes,2019/5/23,Cloudless,suspect,https://vp.fact.qq.com/article?id=b2549f399fb05e6b49bc757929ec6762
95,95,New crown pneumonia virus infected with sweat of patients with new crown pneumonia,2020/2/24,"Master of Pharmacology, PhD in Pediatrics",suspect,https://vp.fact.qq.com/article?id=caa2273a02f6059fd538c6147d64eb7b
94,94,CN95 certified car can be anti-virus,2020/2/24,Official News Client of Southern Newspaper Media Group,suspect,https://vp.fact.qq.com/article?id=01e48f90003e7be92a2f5c722d7964cb
987,1216,"Fresh daylily contains colchicine, poisonous and inedible",2018/8/12,True team,suspect,https://vp.fact.qq.com/article?id=b294d778effd89dc9f2cf8fe95c89d77
93,93,Photocatalytic equipment can effectively prevent new coronavirus infections,2020/2/24,"PhD in Chemistry, Postdoctoral Fellow at Swiss Federal Institute of Technology",suspect,https://vp.fact.qq.com/article?id=aa85288e7f03a5c446a821649a90bb70
92,92,New crown virus will outbreak seasonally like flu virus,2020/2/24,"Associate Professor of Research, Department of Pathology and Experimental Medicine, University of Pennsylvania School of Medicine",suspect,https://vp.fact.qq.com/article?id=c083b8881ca499be066b4f729e7bd91e
89,89,"New crown pneumonia outbreak has already erupted in the United States, and the United States has not slowed down yet",2020/2/25,Ding Yang,suspect,https://vp.fact.qq.com/article?id=2a9da6cfc0693c0718c8ebdfa8b5ecda
88,88,Ms. Mingyuan Yi from Panlong City Meifu climbed down from the tenth floor in order to go out and buy some meat,2020/2/25,Hosted by Hubei Daily Media Group,suspect,https://vp.fact.qq.com/article?id=0ba2888612453ad1a1d5f6955aac1296
83,83,"For patients with new coronary pneumonia, low molecular weight heparin can effectively treat thrombosis",2020/2/25,"Deputy Chief Physician, Department of Infectious Diseases, Peking University First Hospital",suspect,https://vp.fact.qq.com/article?id=9925788d3a7d166095ec680977c9d9da
738,948,Camphor pills are poisonous and can cause harm to the human body if placed incorrectly,2020/1/12,Yangcheng Pie,suspect,https://vp.fact.qq.com/article?id=b27e576cde3fedde2998d2efd6dd3702
